fecha,temperatura_max,viento_max,codigo_tiempo,fuente
2020-01-01,24.3,21.8,51,CDMX
2020-01-02,21.5,25.5,3,CDMX
2020-01-03,23.0,26.4,3,CDMX
2020-01-04,19.2,19.2,3,CDMX
2020-01-05,22.6,20.0,3,CDMX
2020-01-06,24.6,14.0,3,CDMX
2020-01-07,20.7,18.3,3,CDMX
2020-01-08,22.4,20.5,3,CDMX
2020-01-09,24.1,19.9,3,CDMX
2020-01-10,24.5,21.1,2,CDMX
2020-01-11,23.7,14.0,3,CDMX
2020-01-12,24.1,13.5,3,CDMX
2020-01-13,24.2,12.5,2,CDMX
2020-01-14,24.3,15.3,51,CDMX
2020-01-15,24.1,18.1,3,CDMX
2020-01-16,22.8,21.2,53,CDMX
2020-01-17,23.2,21.4,3,CDMX
2020-01-18,22.4,18.4,51,CDMX
2020-01-19,17.7,25.2,53,CDMX
2020-01-20,17.4,15.8,51,CDMX
2020-01-21,17.8,17.4,51,CDMX
2020-01-22,20.7,20.2,3,CDMX
2020-01-23,19.3,13.9,3,CDMX
2020-01-24,18.9,17.7,51,CDMX
2020-01-25,21.8,18.9,3,CDMX
2020-01-26,21.2,10.6,3,CDMX
2020-01-27,23.9,13.0,3,CDMX
2020-01-28,22.9,20.7,3,CDMX
2020-01-29,23.5,23.6,3,CDMX
2020-01-30,22.6,22.3,3,CDMX
2020-01-31,22.5,23.3,3,CDMX
2020-02-01,20.6,19.2,3,CDMX
2020-02-02,22.7,30.1,3,CDMX
2020-02-03,22.8,27.8,3,CDMX
2020-02-04,23.1,22.1,51,CDMX
2020-02-05,20.0,23.2,61,CDMX
2020-02-06,25.1,20.5,53,CDMX
2020-02-07,25.9,15.5,3,CDMX
2020-02-08,25.5,23.5,3,CDMX
2020-02-09,25.8,24.0,2,CDMX
2020-02-10,27.5,22.4,1,CDMX
2020-02-11,27.2,22.0,1,CDMX
2020-02-12,26.2,22.9,0,CDMX
2020-02-13,25.4,14.1,2,CDMX
2020-02-14,23.4,20.0,51,CDMX
2020-02-15,25.2,18.4,51,CDMX
2020-02-16,27.7,15.3,3,CDMX
2020-02-17,28.7,18.0,0,CDMX
2020-02-18,29.3,18.0,1,CDMX
2020-02-19,28.6,14.3,0,CDMX
2020-02-20,27.6,25.6,3,CDMX
2020-02-21,23.7,25.9,3,CDMX
2020-02-22,26.2,31.2,3,CDMX
2020-02-23,27.5,25.5,1,CDMX
2020-02-24,29.5,19.5,3,CDMX
2020-02-25,27.7,24.2,3,CDMX
2020-02-26,23.7,29.6,2,CDMX
2020-02-27,23.5,27.7,3,CDMX
2020-02-28,25.2,27.2,3,CDMX
2020-02-29,27.0,27.7,2,CDMX
2020-03-01,28.4,18.2,3,CDMX
2020-03-02,28.0,20.8,51,CDMX
2020-03-03,26.8,28.7,1,CDMX
2020-03-04,27.6,27.8,3,CDMX
2020-03-05,28.0,23.1,51,CDMX
2020-03-06,25.6,25.3,51,CDMX
2020-03-07,25.9,23.4,3,CDMX
2020-03-08,26.6,24.6,3,CDMX
2020-03-09,27.4,25.1,2,CDMX
2020-03-10,26.9,26.6,3,CDMX
2020-03-11,26.7,19.7,51,CDMX
2020-03-12,28.2,19.4,3,CDMX
